word(SoyNLP),score(SoyNLP),word(TF-IDF),score(TF-IDF),word(KeyBERT),score(KeyBERT)
연기_설경구,1422.0,설경구_연기,1366,설경구_연기,1366.0
연기_진짜,396.0,설경구_김남길,794,설경구_김남길,794.0
연기_김남길,362.0,설경구_연기는,656,설경구_연기는,656.0
연기_배우들,350.0,설경구_연기가,644,설경구_연기가,644.0
연기_설경구의,348.0,설경구_역시,558,설경구_역시,558.0
연기_배우들의,266.0,설경구_연기력,250,설경구_연기력,250.0
연기_좋았어요,234.0,설경구_배우의,176,설경구_배우의,176.0
연기_짱,220.0,설경구_배우,160,설경구_배우,160.0
연기_최고,218.0,설경구_김남길의,138,설경구_김남길의,138.0
연기_가,214.0,설경구_연기에,136,설경구_연기에,136.0
연기_설경구씨,194.0,설경구_믿고보는,132,설경구_믿고보는,132.0
연기_설현,190.0,설경구_배우님,120,설경구_배우님,120.0
연기_대박,178.0,설경구_배우님의,106,설경구_배우님의,106.0
연기_설경구님,164.0,설경구_연기력이,94,설경구_연기력이,94.0
연기_굿,158.0,설경구_의,94,설경구_의,94.0
연기_는,142.0,설경구_연기력은,84,설경구_연기력은,84.0
연기_연출,141.0,설경구_진짜,82,설경구_진짜,82.0
연기_좋았습니다,140.0,설경구_연기만,70,설경구_연기만,70.0
연기_도,140.0,설경구_연기도,58,설경구_연기도,58.0
연기_배우,132.0,설경구_특히,54,설경구_특히,54.0
연기_역시,128.0,설경구_가,52,설경구_가,52.0
연기_배우님,126.0,설경구_재밌었어요,52,설경구_재밌었어요,52.0
연기_를,120.0,설경구_설현,48,설경구_설현,48.0
연기_김남길의,118.0,설경구_연기짱,46,설경구_연기짱,46.0
연기_잘하네요,104.0,설경구_보는,46,설경구_보는,46.0
연기_설현도,102.0,설경구_역쉬,44,설경구_역쉬,44.0
연기_넘,98.0,설경구_좋았어요,44,설경구_좋았어요,44.0
연기_다들,96.0,설경구_아저씨,38,설경구_아저씨,38.0
연기_스토리,96.0,설경구_봤어요,38,설경구_봤어요,38.0
연기_배우의,96.0,설경구_재밌어요,38,설경구_재밌어요,38.0
연기_좋아요,94.0,설경구_연기력에,38,설경구_연기력에,38.0
연기_좋은,86.0,설경구_짱,36,설경구_짱,36.0
연기_잘하고,84.0,설경구_명불허전,34,설경구_명불허전,34.0
연기_좋네요,80.0,설경구_연기를,34,설경구_연기를,34.0
연기_다,80.0,설경구_는,32,설경구_는,32.0
연기_무어의,78.0,설경구_연기의,30,설경구_연기의,30.0
연기_최고의,74.0,설경구_김남일,26,설경구_김남일,26.0
연기_잘함,74.0,설경구_믿고,26,설경구_믿고,26.0
연기_홉킨스의,70.0,설경구_오랜만에,24,설경구_오랜만에,24.0
연기_잘해요,66.0,설경구_배우가,24,설경구_배우가,24.0
연기_잘해서,60.0,설경구_씨의,22,설경구_씨의,22.0
연기_생각보다,58.0,설경구_를,20,설경구_를,20.0
연기_배우분들,56.0,설경구_간만에,20,설경구_간만에,20.0
연기_좋고,56.0,설경구_씨,18,설경구_씨,18.0
연기_최고입니다,54.0,설경구_배우는,18,설경구_배우는,18.0
연기_덕분에,54.0,설경구_아저씨의,18,설경구_아저씨의,18.0
연기_잘하는,52.0,설경구_대박,18,설경구_대박,18.0
연기_에,52.0,설경구_김남길은,18,설경구_김남길은,18.0
연기_잘한다,52.0,설경구_최고,18,설경구_최고,18.0
연기_설현의,52.0,설경구_봤습니다,16,설경구_봤습니다,16.0
연기_좋았고,50.0,설경구_연기대박,16,설경구_연기대박,16.0
연기_서현진,48.0,설경구_하드캐리,16,설경구_하드캐리,16.0
연기_소름,46.0,설경구_다시,16,설경구_다시,16.0
연기_좋았다,44.0,설경구_입니다,16,설경구_입니다,16.0
연기_완전,44.0,설경구_에,16,설경구_에,16.0
연기_훌륭한,42.0,설경구_미친,16,설경구_미친,16.0
연기_설경구님의,42.0,설경구_연기력으로,16,설경구_연기력으로,16.0
연기_무어,42.0,설경구_재미있었어요,14,설경구_재미있었어요,14.0
연기_잘하시네요,42.0,설경구_영화는,14,설경구_영화는,14.0
연기_력,42.0,설경구_연기력만,14,설경구_연기력만,14.0
연기_홉킨스,40.0,설경구_님,14,설경구_님,14.0
연기_소름돋는,40.0,설경구_배우님이,14,설경구_배우님이,14.0
연기_미친,38.0,설경구_봤는데,14,설경구_봤는데,14.0
연기_짱입니다,36.0,설경구_연기최고,14,설경구_연기최고,14.0
연기_력이,36.0,설경구_만드는,12,설경구_만드는,12.0
연기_와,34.0,설경구_봤다,12,설경구_봤다,12.0
연기_굿굿,34.0,설경구_연기야,12,설경구_연기야,12.0
연기_좋았음,32.0,설경구_배우님은,12,설경구_배우님은,12.0
연기_보는,32.0,설경구_눈,12,설경구_눈,12.0
연기_명품,30.0,설경구_연기잘함,12,설경구_연기잘함,12.0
연기_배우님의,30.0,설경구_반전,12,설경구_반전,12.0
연기_하네요,30.0,설경구_연기력짱,12,설경구_연기력짱,12.0
연기_배우님들,30.0,설경구_스토리,12,설경구_스토리,12.0
연기_최고에요,30.0,설경구_좋았고,12,설경구_좋았고,12.0
